time,movement,noise,screen
1771408618284,10.342023,0,1
1771408623291,10.261558,0,1
1771408628295,10.356699,0,1
1771408633300,10.281374,0,1
1771408638303,10.245422,0,1
1771408643307,10.301807,0,1
1771408648310,10.243072,0,1
1771408650426,10.3019085,0,1
1771408653314,10.27874,0,1
1771408655429,10.26173,0,1
1771408658317,10.222458,0,1
1771408660432,10.322304,0,1
1771408663321,10.264392,0,1
1771408665434,10.358996,0,1
1771408668324,10.265131,0,1
1771408670438,10.3200655,0,1
1771408673328,10.282753,0,1
1771408675442,10.261137,0,1
1771408678332,10.226419,0,1
1771408680449,10.2620945,0,1
1771408683335,10.261451,0,1
1771408685453,10.279346,0,1
1771408688339,10.262965,0,1
1771408690457,10.283489,0,1
1771408693343,10.321534,0,1
1771408695460,10.243943,0,1
1771408698346,10.323085,0,1
1771408700463,10.285001,0,1
1771408703349,10.262123,0,1
1771408705469,10.239568,0,1
1771408708352,10.241054,0,1
1771408710475,10.201275,0,1
1771408713354,10.299769,0,1
1771408715478,10.3004,0,1
1771408718356,10.298787,0,1
1771408720484,10.358059,0,1
1771408723359,10.296551,0,1
1771408725487,10.320094,0,1
1771408728361,10.299769,0,1
1771408730491,10.301112,0,1
1771408733365,10.285203,0,1
1771408735494,10.260818,0,1
1771408738368,10.282045,0,1
1771408740499,10.285048,0,1
1771408743372,10.262165,0,1
1771408745502,10.340405,0,1
1771408748376,9.932366,0,1
1771408750507,9.861334,0,1
1771408753377,9.9389,0,1
1771408755511,9.813067,0,1
1771408758381,9.874853,0,1
1771408760514,9.836783,0,1
1771408763384,9.867796,0,1
1771408765519,9.847494,0,1
1771408768387,12.838919,0,1
1771408770524,10.243833,0,1
1771408773399,9.917805,0,1
1771408790997,10.204423,0,1
1771408796002,11.637732,0,1
1771408801006,6.946517,0,1
1771408806011,20.621914,0,1
1771408811014,11.294772,0,1
1771408816017,8.066923,0,0
1771408821019,10.867886,0,0
1771408826022,11.180184,0,0
1771408831025,10.241054,0,0
1771408836029,10.203149,0,0
1771408841034,10.260714,0,0
1771408846039,10.277618,0,0
1771408851043,10.262863,0,0
1771408856046,10.282255,0,0
1771408861050,10.260714,0,0
1771408866054,10.222141,0,0
1771408871057,10.26219,0,0
1771408876063,10.335092,0,0
1771408881070,10.335092,0,0
1771408886080,10.335092,0,0
1771408891090,10.335092,0,0
1771408896099,10.335092,0,0
1771408901109,10.335092,0,0
1771408906119,10.335092,0,0
1771408911122,10.335092,0,1
1771408916128,10.335092,0,1
time,movement,noise,screen
1771409073716,10.652718,0,1
1771409073726,10.551696,0,1
1771409073743,10.622876,0,1
1771409073758,10.510045,0,1
1771409073774,10.595833,0,1
1771409073790,10.679712,0,1
1771409073806,10.727469,0,1
1771409073822,10.6661625,0,1
1771409073838,10.725919,0,1
1771409073854,10.766772,0,1
1771409073870,10.875108,0,1
1771409073886,10.868616,0,1
1771409073901,10.927416,0,1
1771409073917,10.816016,0,1
1771409073934,10.890453,0,1
1771409073950,10.762817,0,1
1771409073966,10.7310915,0,1
1771409073982,10.71525,0,1
1771409073997,11.075222,0,1
1771409074015,10.599255,0,1
1771409074031,10.819632,0,1
1771409074046,10.658694,0,1
1771409074063,10.677688,0,1
1771409074079,10.574605,0,1
1771409074094,10.447399,0,1
1771409074110,10.315184,0,1
1771409074126,10.608024,0,1
1771409074142,10.517854,0,1
1771409074161,10.584763,0,1
1771409074177,11.184529,0,1
1771409074192,12.308538,0,1
1771409074209,13.075438,0,1
1771409074226,13.697181,0,1
1771409074242,12.940967,0,1
1771409074259,12.465814,0,1
1771409074274,11.360728,0,1
1771409074291,10.226064,0,1
1771409074309,10.493819,0,1
1771409074327,10.608941,0,1
1771409074340,10.6236725,0,1
1771409074356,10.248646,0,1
1771409074371,10.291852,0,1
1771409074389,10.253702,0,1
1771409074403,9.540165,0,1
1771409074421,9.332427,0,1
1771409074435,9.448672,0,1
1771409074451,9.247058,0,1
1771409074468,7.6816025,0,1
1771409074485,7.094861,0,1
1771409074501,7.147365,0,1
1771409074514,7.0832334,0,1
1771409074530,9.021721,0,1
1771409074546,13.135593,0,1
1771409074561,16.560091,0,1
1771409074580,17.805796,0,1
1771409074591,16.728924,0,1
1771409074609,15.493488,0,1
1771409074625,16.06874,0,1
1771409074641,16.21002,0,1
1771409074658,14.335033,0,1
1771409074674,11.101948,0,1
1771409074691,9.252727,0,1
1771409074707,8.251707,0,1
1771409074723,7.4851985,0,1
1771409074739,6.596104,0,1
1771409074756,10.7974615,0,1
1771409074772,19.05879,0,1
1771409074788,24.250908,0,1
1771409074804,24.131756,0,1
1771409074821,21.29311,0,1
1771409074837,16.449966,0,1
1771409074854,11.242886,0,1
1771409074869,6.072108,0,1
1771409074884,5.5580144,0,1
1771409074902,12.110611,0,1
1771409074917,20.367275,0,1
1771409074931,24.616297,0,1
1771409074947,24.730999,0,1
1771409074964,21.708439,0,1
1771409074981,16.83583,0,1
1771409074999,10.151377,0,1
1771409075012,3.3698003,0,1
1771409075029,5.3781343,0,1
1771409075047,13.513907,0,1
1771409075061,21.893497,0,1
1771409075076,28.500315,0,1
1771409075092,31.634443,0,1
1771409075109,31.277435,0,1
1771409075126,27.688564,0,1
1771409075141,22.169434,0,1
1771409075158,15.70353,0,1
1771409075173,7.289519,0,1
1771409075189,11.080395,0,1
1771409075206,27.61534,0,1
1771409075222,40.295994,0,1
1771409075237,40.898388,0,1
1771409075253,33.4609,0,1
1771409075270,20.72146,0,1
1771409075285,7.69941,0,1
1771409075302,10.203861,0,1
1771409075317,25.735321,0,1
1771409075333,38.784225,0,1
1771409075349,38.66286,0,1
1771409075366,38.588295,0,1
1771409075381,36.64627,0,1
1771409075398,27.449635,0,1
1771409075414,18.174683,0,1
1771409075428,8.267723,0,1
1771409075444,14.727256,0,1
1771409075459,31.508984,0,1
1771409075475,40.188908,0,1
1771409075490,40.397114,0,1
1771409075505,30.788774,0,1
1771409075520,16.80775,0,1
1771409075537,7.490657,0,1
1771409075554,16.961031,0,1
1771409075571,26.820938,0,1
